id,lat,long,id_2,lat_2,long_2,id_total,type
"85","48.4248857400","-117.7738870000","83","47.3828889300","-116.5125230000","8583","3"
"85","48.4248857400","-117.7738870000","81","47.3143365100","-120.6896500000","8581","3"
"85","48.4248857400","-117.7738870000","57","44.7756118200","-123.8522020000","8557","2"
"85","48.4248857400","-117.7738870000","56","45.1914965100","-123.7448030000","8556","2"
"85","48.4248857400","-117.7738870000","41","46.2396430700","-122.0994960000","8541","2"
"85","48.4248857400","-117.7738870000","40","47.2936767900","-123.1816370000","8540","2"
"85","48.4248857400","-117.7738870000","39","47.0224387800","-123.5006580000","8539","3"
"85","48.4248857400","-117.7738870000","38","46.7104448000","-123.8730830000","8538","2"
"85","48.4248857400","-117.7738870000","35","47.0772485300","-123.9686490000","8535","2"
"85","48.4248857400","-117.7738870000","34","47.3850263800","-124.0754580000","8534","2"
"85","48.4248857400","-117.7738870000","32","47.9401508000","-123.7297350000","8532","2"
"85","48.4248857400","-117.7738870000","31","47.8263151600","-122.9132100000","8531","2"
"85","48.4248857400","-117.7738870000","30","46.8453611100","-122.7796990000","8530","2"
"85","48.4248857400","-117.7738870000","29","47.1531389600","-122.2906270000","8529","2"
"85","48.4248857400","-117.7738870000","28","47.4552952900","-122.1866290000","8528","2"
"85","48.4248857400","-117.7738870000","27","47.6295622000","-122.2540880000","8527","2"
"85","48.4248857400","-117.7738870000","26","47.1728142600","-121.6132350000","8526","2"
"85","48.4248857400","-117.7738870000","25","47.5874008500","-121.4825350000","8525","2"
"85","48.4248857400","-117.7738870000","24","47.8502065900","-121.9210130000","8524","2"
"85","48.4248857400","-117.7738870000","23","48.6554883500","-122.5674870000","8523","2"
"85","48.4248857400","-117.7738870000","22","48.3139814300","-122.0222000000","8522","2"
"85","48.4248857400","-117.7738870000","21","48.5079236300","-122.3594910000","8521","2"
"85","48.4248857400","-117.7738870000","20","48.7974315600","-121.9870660000","8520","2"
"85","48.4248857400","-117.7738870000","19","48.9196994700","-122.6644580000","8519","2"
"85","48.4248857400","-117.7738870000","18","49.1979643700","-122.1332250000","8518","2"
"85","48.4248857400","-117.7738870000","14","46.9711424700","-119.8572150000","8514","3"
"85","48.4248857400","-117.7738870000","11","48.0701482900","-119.0224200000","8511","3"
"85","48.4248857400","-117.7738870000","10","48.1263634200","-116.1751240000","8510","2"
"85","48.4248857400","-117.7738870000","9","46.1799145000","-112.9652400000","859","2"
"86","48.7950688200","-124.0395790000","100","49.7935887700","-124.9183430000","86100","2"
"86","48.7950688200","-124.0395790000","98","50.1222464700","-125.0564740000","8698","2"
"86","48.7950688200","-124.0395790000","97","50.4604304800","-124.1467120000","8697","2"
"86","48.7950688200","-124.0395790000","96","50.9129302100","-122.3986340000","8696","2"
"86","48.7950688200","-124.0395790000","95","50.7462197800","-121.4269500000","8695","2"
"86","48.7950688200","-124.0395790000","94","48.6571158800","-123.5175320000","8694","2"
"86","48.7950688200","-124.0395790000","93","49.4382733100","-124.2224790000","8693","2"
"86","48.7950688200","-124.0395790000","92","49.8764835700","-123.4365590000","8692","2"
"86","48.7950688200","-124.0395790000","89","49.6359785200","-117.9795440000","8689","2"
"86","48.7950688200","-124.0395790000","88","48.9870156000","-119.3551630000","8688","2"
"86","48.7950688200","-124.0395790000","86","48.7950688200","-124.0395790000","8686","3"
"86","48.7950688200","-124.0395790000","85","48.4248857400","-117.7738870000","8685","2"
"86","48.7950688200","-124.0395790000","84","47.7622123300","-117.8607200000","8684","2"
"86","48.7950688200","-124.0395790000","83","47.3828889300","-116.5125230000","8683","2"
"86","48.7950688200","-124.0395790000","81","47.3143365100","-120.6896500000","8681","2"
"86","48.7950688200","-124.0395790000","57","44.7756118200","-123.8522020000","8657","2"
"86","48.7950688200","-124.0395790000","56","45.1914965100","-123.7448030000","8656","2"
"86","48.7950688200","-124.0395790000","41","46.2396430700","-122.0994960000","8641","2"
"86","48.7950688200","-124.0395790000","40","47.2936767900","-123.1816370000","8640","2"
